,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
140,37,admin.,divorced,university.degree,no,yes,no,telephone,may,wed,72,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
141,37,admin.,married,university.degree,no,no,no,telephone,jun,tue,192,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
142,37,admin.,married,university.degree,no,no,no,telephone,jun,wed,867,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
143,37,blue-collar,divorced,professional.course,no,yes,no,cellular,may,tue,304,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
144,37,blue-collar,married,basic.6y,no,no,no,cellular,may,thu,253,2,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
145,37,entrepreneur,married,high.school,unknown,no,no,cellular,nov,thu,68,1,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,no
146,37,management,single,basic.9y,no,yes,no,cellular,may,mon,189,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
147,37,services,married,basic.9y,no,yes,no,cellular,apr,wed,103,2,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,no
148,37,services,married,high.school,no,no,no,cellular,may,thu,262,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
149,37,services,married,professional.course,unknown,no,no,telephone,may,thu,125,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
