,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
170,38,technician,married,professional.course,no,no,no,telephone,may,mon,80,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
171,39,admin.,married,university.degree,no,no,no,cellular,may,tue,30,7,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
172,39,admin.,married,university.degree,unknown,no,no,telephone,jul,thu,94,12,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
173,39,admin.,single,university.degree,no,no,no,cellular,aug,wed,127,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
174,39,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,219,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
175,39,blue-collar,married,professional.course,no,no,no,cellular,may,mon,149,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
176,39,housemaid,married,basic.9y,no,yes,yes,cellular,nov,mon,112,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
177,39,management,married,basic.6y,unknown,yes,no,telephone,jun,fri,38,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
178,39,management,married,university.degree,no,no,no,cellular,nov,tue,435,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
179,39,services,married,professional.course,no,no,no,cellular,nov,mon,148,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
