,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
310,55,housemaid,married,basic.4y,unknown,yes,no,telephone,jul,tue,481,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
311,55,services,married,high.school,no,yes,no,cellular,aug,tue,392,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
312,55,technician,married,basic.9y,no,no,no,cellular,nov,wed,1548,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
313,56,admin.,married,university.degree,no,yes,no,cellular,aug,tue,153,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
314,56,entrepreneur,married,university.degree,no,yes,no,telephone,apr,thu,141,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
315,56,housemaid,married,basic.4y,no,no,no,telephone,jun,wed,204,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
316,56,management,married,university.degree,no,yes,no,telephone,may,wed,29,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
317,56,retired,married,basic.4y,no,no,no,telephone,jun,wed,375,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
318,56,self-employed,single,basic.9y,unknown,no,no,telephone,jun,fri,154,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
319,56,services,divorced,high.school,no,no,yes,telephone,jul,tue,150,1,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,no
