,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
180,39,technician,married,high.school,unknown,no,no,cellular,jul,wed,781,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
181,39,unemployed,married,basic.9y,no,no,no,cellular,nov,wed,292,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
182,40,admin.,married,university.degree,no,no,no,cellular,aug,thu,13,11,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
183,40,admin.,married,university.degree,no,yes,no,cellular,aug,thu,374,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
184,40,admin.,single,high.school,no,no,yes,telephone,jun,tue,25,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
185,40,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,124,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
186,40,blue-collar,married,basic.9y,no,no,yes,telephone,jul,tue,1135,2,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,yes
187,40,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,46,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
188,40,housemaid,married,basic.4y,no,yes,yes,telephone,may,fri,62,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
189,40,management,married,university.degree,no,no,yes,telephone,may,tue,66,12,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
