,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
230,44,housemaid,married,basic.9y,no,no,no,telephone,may,fri,98,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
231,44,services,single,high.school,no,no,no,cellular,nov,wed,75,2,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
232,44,technician,married,professional.course,no,no,no,cellular,aug,thu,82,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
233,44,technician,married,university.degree,no,no,no,cellular,aug,thu,214,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
234,45,entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,82,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
235,45,technician,divorced,university.degree,no,yes,no,cellular,aug,mon,100,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
236,45,technician,married,university.degree,no,yes,no,telephone,may,thu,336,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
237,45,technician,single,professional.course,no,yes,no,telephone,may,tue,37,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
238,45,unknown,unknown,unknown,no,yes,no,cellular,jul,wed,586,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
239,46,admin.,married,high.school,no,yes,no,cellular,nov,thu,308,1,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,no
