,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
130,36,admin.,single,university.degree,no,no,no,telephone,jun,tue,70,10,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
131,36,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,tue,1615,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
132,36,entrepreneur,single,university.degree,no,yes,no,cellular,nov,wed,115,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
133,36,management,married,university.degree,no,yes,no,telephone,may,thu,68,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
134,36,services,married,basic.9y,unknown,yes,no,cellular,nov,thu,90,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
135,36,technician,divorced,professional.course,no,yes,yes,cellular,aug,wed,81,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
136,36,technician,married,professional.course,no,no,no,telephone,jun,thu,38,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
137,36,technician,married,professional.course,no,no,no,telephone,may,wed,221,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
138,36,technician,married,professional.course,no,yes,no,telephone,may,thu,247,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
139,36,technician,single,high.school,no,yes,no,cellular,aug,fri,81,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
