,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
120,35,blue-collar,divorced,high.school,unknown,yes,no,telephone,may,tue,61,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
121,35,blue-collar,married,basic.6y,no,yes,no,cellular,apr,fri,113,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
122,35,blue-collar,single,unknown,no,yes,no,telephone,jul,mon,564,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
123,35,services,divorced,high.school,no,no,no,telephone,may,mon,122,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
124,35,services,single,high.school,no,no,no,cellular,may,fri,198,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
125,35,student,single,university.degree,unknown,no,no,telephone,may,mon,218,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
126,35,technician,married,professional.course,no,no,no,telephone,may,fri,169,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
127,35,technician,married,university.degree,unknown,no,no,telephone,may,wed,899,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
128,36,admin.,married,high.school,no,no,no,cellular,jul,wed,96,8,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
129,36,admin.,married,university.degree,unknown,yes,no,telephone,may,wed,136,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
